Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 5X Plus Rewards Supercard,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 7X Plus Rewards Supercard,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank VCard,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Cookie Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Shoprite Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Platinum Maxima Plus Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank MoneyTap Black Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Platinum Maxima Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Movies and More Credit Card,,,,
Flat Rs. 100 OFF using RBL Bank Credit Cards,Applicable only on transactions using any RBL Bank Credit Cards; Total value of items must be Rs. 999 or more; Offer can be availed once during the offer period (Jan 01 Rs. Jan 31); Discount not applicable on Gold & Silver coins Gift Cards Milk Tobacco Cigarettes and Baby needs products; Other T&Cs may apply,RBL100,RBL Bank Paisabazaar Duet Plus Card,,,,
