Offer,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Pixel Play Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,PhonePe HDFC Bank Ultimo Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Paytm HDFC Bank Select Business Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Millennia Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,IRCTC HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Tata Neu Infinity HDFC Bank RuPay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Tata Neu Infinity HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Tata Neu Plus HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Intermiles HDFC Bank Diners Club Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Shoppers Stop Black HDFC Bank Credit Card,,,,
